#SampleID	habitat_depth_level2	anat_hab	sample_type	anatomical_location	spatial_region	anat_space_combine	habitat_depth_level3
13414.83.skin.R1.fastq.gz	bathypelagic	bathypelagic_skin	skin	external	open ocean	open ocean/external	bathypelagic
13414.84.gill.R1.fastq.gz	bathypelagic	bathypelagic_gill	gill	external	open ocean	open ocean/external	bathypelagic
13414.84.hg.R1.fastq.gz	bathypelagic	bathypelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	bathypelagic
13414.84.midgut.R1.fastq.gz	bathypelagic	bathypelagic_midgut	midgut	internal	open ocean	open ocean/internal	bathypelagic
13414.84.skin.R1.fastq.gz	bathypelagic	bathypelagic_skin	skin	external	open ocean	open ocean/external	bathypelagic
13414.85.gill.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_gill	gill	external	open ocean	open ocean/external	meso_benthopelagic
13414.85.hg.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.85.midgut.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_midgut	midgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.85.skin.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_skin	skin	external	open ocean	open ocean/external	meso_benthopelagic
13414.86.gill.R1.fastq.gz	mesopelagic	meso_benthopelagic_gill	gill	external	open ocean	open ocean/external	meso_benthopelagic
13414.86.hg.R1.fastq.gz	mesopelagic	meso_benthopelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.86.midgut.R1.fastq.gz	mesopelagic	meso_benthopelagic_midgut	midgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.86.skin.R1.fastq.gz	mesopelagic	meso_benthopelagic_skin	skin	external	open ocean	open ocean/external	meso_benthopelagic
13414.87.gill.R1.fastq.gz	bathypelagic	bathypelagic_gill	gill	external	open ocean	open ocean/external	bathypelagic
13414.87.midgut.R1.fastq.gz	bathypelagic	bathypelagic_midgut	midgut	internal	open ocean	open ocean/internal	bathypelagic
13414.87.skin.R1.fastq.gz	bathypelagic	bathypelagic_skin	skin	external	open ocean	open ocean/external	bathypelagic
13414.88.gill.R1.fastq.gz	mesopelagic	meso_benthopelagic_gill	gill	external	open ocean	open ocean/external	meso_benthopelagic
